Id,PlayerName,Salary,Age,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TotalMinutes,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary_normalized,Position_encoded,Team_encoded
67,Clint Capela,18206896,4.3809460334448715,5.831327892742091,5.7737732204907655,4.299254091247412,2.1404903073307175,2.6332041324455657,0.522021896136514,0.0,0.0,0.0,2.1404903073307175,2.6332041324455657,0.5226740595648814,0.522021896136514,0.8369759806258961,1.1943176378757767,0.4889780487821708,1.8203341036428238,2.4572538610436574,3.011340243262834,0.6737680590667839,0.5523173316303605,0.8369759806258961,0.6144772743641285,1.2330769203735719,3.128238685769432,13.734420015443092,4.010365175599477,0.5239773816028097,0.00199830209368351,0.22194650908673574,3.539394281403956,4.459351852515735,4.051512014969279,1.9887896584596787,0.8369759806258961,1.7946539750195776,2.648297385478304,3.5032223053931855,4.9,1.3432975971899863,7.2,0.201,2.3,-0.1,2.2,1.8,16.717311036305272,0,0
68,Evan Fournier,18000000,4.492017742920502,4.322947514138835,2.440268378362637,3.618222517841817,1.2330769203735719,2.2786865383928596,0.29684731670188297,0.8871756757156232,1.8704111970686275,0.2731832613665075,0.6144772743641285,1.1544441718859593,0.348109328121492,0.3769983020395556,0.5523173316303605,0.6144772743641285,0.6486061350280742,0.09599474047211042,1.0710585971090136,1.1133843646427297,0.8871756757156232,0.48696769054824085,0.09599474047211042,0.6144772743641285,1.0710585971090136,2.2786865383928596,10.056650085160447,2.423101456003401,0.3973325409441357,0.5440096927866339,0.12063775355453675,0.7304631471189666,2.986972062007028,2.2404287472016287,2.962250248368772,1.0710585971090136,0.48696769054824085,3.035365619932963,3.734426832765899,-0.3,0.3451079244367938,0.1,0.01,-4.0,0.0,-4.0,-0.2,16.705882371415992,7,47
69,Steven Adams,17926829,4.4372688011897266,5.0533710494211155,5.0533710494211155,4.322947514138835,1.7419280321813702,2.3160390089201686,0.4849541257486446,0.0,0.0,0.0,1.7419280321813702,2.2974730190935833,0.4862968591163005,0.4849541257486446,0.7847978060712121,1.571419296723087,0.31776216592662243,2.07729441989646,2.3525315260846855,3.070783383350972,1.3075096101012593,0.6737680590667839,0.7847978060712121,1.1544441718859593,1.3075096101012593,2.692763880463827,12.480331651039076,3.660578809136392,0.46259004660719577,0.0039932167256760956,0.4109442023585444,3.8663096878679837,4.220179924220871,4.051512014969279,3.035365619932963,0.9822467037532344,1.7419280321813702,3.8437090515615933,3.3998085973553147,1.3,1.2330769203735719,3.4,0.144,-0.3,0.9,0.6,0.7,16.70180903128913,0,39
71,OG Anunoby,17357143,4.2014612941903655,5.88741871045203,5.88741871045203,4.7734618624018905,2.3160390089201686,3.2588241665316375,0.4009289800624652,1.2330769203735719,2.160996313445664,0.3353027595403703,1.8704111970686275,2.5555777652256793,0.4453789562683033,0.4571080996791096,1.2330769203735719,1.3782017963726023,0.637330011352461,0.9355532237698291,1.6872592197086782,2.055641538058108,1.1943176378757767,1.1544441718859593,0.5523173316303605,1.1943176378757767,1.5409627556327752,3.6009995309225884,14.741851303823557,3.3998085973553147,0.47754343998826326,0.35632587050983,0.17537979742254836,1.8704111970686275,3.139503725712317,2.5870722438442337,2.6025944687727294,1.4455398754696245,1.1943176378757767,3.139503725712317,3.8208296209080292,1.8,1.5098519893959559,4.7,0.094,-0.3,0.7,0.4,1.5,16.669514737533184,4,65
72,Marcus Smart,17207142,4.3809460334448715,5.7146689026506605,5.7146689026506605,4.602270049884833,1.8455813191367303,2.8727697059001396,0.35632587050983,1.1544441718859593,2.1812358949226547,0.296065821353596,1.270787630434676,1.8948384661485012,0.4314381304242628,0.4258180821952179,0.9355532237698291,1.1544441718859593,0.5812864734094545,0.6144772743641285,1.3432975971899863,1.571419296723087,2.3160390089201686,0.9822467037532344,0.3451079244367938,1.3075096101012593,1.478055616713875,3.070783383350972,14.115012896462307,3.139503725712317,0.4446855829324879,0.4653220874207349,0.18140691121344374,1.4122683720328608,2.6025944687727294,2.119710123240548,4.287297738734636,1.3075096101012593,0.7304631471189666,3.693768839221828,3.6855277209017743,1.0,1.4455398754696245,3.7,0.092,-1.8,0.8,-1.0,0.5,16.660835146272042,2,1
73,Derrick White,17142857,4.3809460334448715,6.268453117386751,5.968980585391403,4.398013988612343,1.8948384661485012,2.778263837051785,0.390832683616469,1.1133843646427297,2.0113991574502705,0.33075092875682216,1.3782017963726023,1.9425402190926926,0.4516021430806669,0.4598520601048966,1.1943176378757767,1.3075096101012593,0.6591986786074474,0.48696769054824085,1.5098519893959559,1.7148461932541845,1.7946539750195776,0.5523173316303605,0.6737680590667839,0.8369759806258961,1.270787630434676,3.1728657463173713,14.650620648649427,3.475606843815801,0.48964745754237093,0.4293335672290632,0.22939921052624127,1.3782017963726023,3.035365619932963,2.423101456003401,3.8131398860617014,0.7847978060712121,1.478055616713875,2.89882257877432,3.6772492575954994,4.4,1.571419296723087,7.4,0.154,1.1,1.3,2.4,2.6,16.657092201691004,7,1
74,Dejounte Murray,17071120,4.2631607783924865,6.07328940298831,6.07328940298831,4.810626664531079,2.648297385478304,3.6855277209017743,0.39228002963788744,1.1133843646427297,2.0986476546769155,0.3023039154668419,2.3525315260846855,3.1947560878728773,0.42792855757830506,0.42792855757830506,1.2330769203735719,1.4122683720328608,0.6337485448272293,0.5523173316303605,1.9425402190926926,2.119710123240548,2.2786865383928596,0.9822467037532344,0.26759528603209753,1.270787630434676,0.9355532237698291,3.8960227467738258,15.133929977771148,3.618222517841817,0.4460719467550811,0.2619816761690203,0.13589746185244705,1.2330769203735719,3.3206310975845086,2.5870722438442337,4.137710644618417,1.1943176378757767,0.48696769054824085,2.9116996960682515,4.16346654289975,2.4,1.3075096101012593,4.7,0.084,1.1,0.0,1.0,2.1,16.65289876338182,7,0
75,Mitchell Robinson,17045454,4.137710644618417,5.653921148278169,5.62289923231481,4.322947514138835,1.6012508344814045,1.9887896584596787,0.5337098765813513,0.0,0.0,0.0,1.6012508344814045,1.9887896584596787,0.5337098765813513,0.5337098765813513,0.7304631471189666,1.2330769203735719,0.40666180078039416,1.9425402190926926,2.033679703428328,2.805814311600189,0.6737680590667839,0.6737680590667839,1.1133843646427297,0.5523173316303605,1.4455398754696245,2.5071621901826946,13.479860809379005,3.7742036708830295,0.521369397268635,0.0,0.3718623756090378,3.734426832765899,3.858806663498184,3.7976638003787406,1.9425402190926926,1.0710585971090136,2.3525315260846855,2.999199667789124,2.89882257877432,4.0,1.4122683720328608,6.5,0.197,1.0,1.4,2.4,1.7,16.651394157243036,0,47
76,Duncan Robinson,16902000,4.3809460334448715,5.0533710494211155,0.7304631471189666,3.574854059761254,1.2330769203735719,2.1812358949226547,0.3231270525802034,0.9822467037532344,1.9658404488041925,0.28979589525001354,0.48696769054824085,0.7847978060712121,0.4571080996791096,0.42087975420881135,0.5523173316303605,0.6144772743641285,0.6772404495974274,0.18483752645848053,0.9822467037532344,1.0273787073694451,0.7847978060712121,0.26759528603209753,0.0,0.5523173316303605,1.1133843646427297,2.3343900635968162,11.113042599688864,2.57140105828423,0.4419082518731938,0.6205306168775799,0.12784298932668714,0.8871756757156232,2.9746560564993456,2.2404287472016287,2.84630728564999,0.7304631471189666,0.0,2.885846472488202,3.693768839221828,-0.1,0.48696769054824085,0.5,0.035,-3.5,-1.5,-5.0,-0.5,16.64294257525116,4,40
77,Norman Powell,16758621,4.4372688011897266,5.684506656824126,2.6025944687727294,4.269223368546681,2.201216472409456,3.10548584739025,0.40308187583967675,1.1544441718859593,2.0113991574502705,0.34285208447643073,1.7685244437086272,2.4572538610436574,0.4419082518731938,0.45916663116123035,1.7685244437086272,1.9658404488041925,0.6217378728083702,0.3451079244367938,1.3782017963726023,1.5098519893959559,1.1133843646427297,0.6144772743641285,0.26759528603209753,1.0710585971090136,1.2330769203735719,3.618222517841817,13.434008703823304,3.626773091412529,0.4949899947267933,0.348109328121492,0.3375724016791106,1.0710585971090136,2.9746560564993456,2.3160390089201686,3.011340243262834,1.0273787073694451,0.7304631471189666,2.986972062007028,4.2631607783924865,2.1,0.9355532237698291,3.5,0.107,0.9,-0.7,0.3,0.9,16.634423430067592,7,29
